Title,Date,Issuing Org,Type of Organization Issuing,Topic,Peer reviewed,Strength of Industry Ties,Type of Industry Ties,Duplicate?,Notes on Industry Ties,Other Notes,Authors,Organizations,Link,,
"""NGV Road Map For Pennsylvania Jobs, Energy Security and Clean Air""",2011,Marcellus Shale Coalition,Trade group,Other,No,Strong,"F, C, M",,"Prepared by Gladstein, Neandross & Associates, which specializes in ""market development for low emission and alternative fuel vehicle technologies, infrastructure, and fuels."" Prepared under the leadership of MSC and members companies Chesapeake Energy, EQT, and Range Resources.",,Erik Neandross; Cliff Gladstein; Karen Mann; Sean Turner; Alycia Gilde; Rebecca Schenker; Ryan Erickson; Tan Grimes,Marcellus Shale Coalition,,,
"""Induced Seismicity and Hydraulic Fracturing for the Recovery of Hydrocarbons""",2013,Marine and Petroleum Geology,Peer-reviewed journal,Seismicity,Yes,Weak,O,,"3 of 4 authors from Durham Energy Institute, which is sponsored by O&G.",,Richard Davies; Gillian Foulger; Annette Bindley; Peter Styles,,,,
"""Natural gas industry in West Virginia supports over two percent of state's employment""",2008,Marshall University,University,Manufacturing/Economy,No,Strong,F,,Prepared for West Virginia Oil and Natural Gas Association & Independent Oil and Gas Association of West Virginia.,,,,,,
"""Potential Economic & Fiscal Impacts of Natural Gas Production in Western Maryland""",2012,Maryland Petroleum Council,Trade group,Manufacturing/Economy,No,Strong,M,,"Submitted by Sage Policy Group (formerly Commonwealth Economics, LLC), which consulted for Constellation Energy and recently Dominion LNG.",,,Sage Policy Group,,,
"""Game changers: Five opportunities for US growth and renewal""",2013,McKinsey & Co.,Consultant,Manufacturing/Economy,No,Medium,C,,McKinsey & Co consults for oil and gas companies.,,Susan Lund; James Manyika; Scott Nyquist; Lenny Mendonca; Sreenivas Ramaswamy,,,,
"""The Natural Gas Subcommittee Report on Energy and Job Creation""",2011,Michigan House of Representatives,Government,Manufacturing/Economy,No,None found,O,,Industry testimony outnumbered non-industry testimony almost 3:1.,,,,,,
"""Measurements of methane emissions at natural gas production sites in the U.S.""",2013,PNAS,Peer-reviewed journal,Public Health/Environment,Yes,Strong,"F, A",,"Funded by industry including Talisman Energy, XTO Energy, and Chevron; authors Matthew Harrison and Al Hendler work for URS Corporation, an engineering and construction contractor to O&G firms; Miskimins works for a Barree & Assoc., an industry consultant, and previously worked for ExxonMobil.",See http://public-accountability.org/2013/09/conflicts-of-interest-in-new-fracking-emissions-study/,David T. Allen; Vincent M. Torres; James Thomas; David W. Sullivan; Matthew Harrison; Al Hendler; Scott C. Herndon; Charles E. Kolb; Matthew P. Fraser; A. Daniel Hill; Brian K. Lamb; Jennifer Miskimins; Robert F. Sawyer; John H. Seinfeld,,http://www.pnas.org/content/110/44/17768.full.pdf+html,,
"""The Future of Natural Gas""",2011,MIT,University,Overall,No,Strong,"F, A, M",,"Study leader Ernest Moniz was a board member at ICF, advisor to energy investment firm at the time; co-author Anthony Meggs worked for BP immediately before report and for Talisman immediately after; study was funded by American Clean Skies Foundation, an industry front group. See detail in report (p. xx).",,Ernest Moniz; Henry Jacoby; Anthony Meggs; John Deutch,American Clean Skies Foundation,,,
"""How the Marcellus Shale Transformed the Domestic Natural Gas Landscape""",2014,Morningstar,Financial analyst,Manufacturing/Economy,No,None found,,,,,Mark P Hanson,,,,
"""Realizing the Potential of North America's Abundant Natural Gas and Oil Resources""",2012,National Petroleum Council,Government,Overall,No,Strong,M,,"NPC ""represents industry views"" to Department of Energy. Advisory committee is composed of oil and gas executives.",,,,,,
"""Induced Seismicity Potential in Energy Technologies""",2012,National Research Council,Government,Seismicity,No,None found,O,,"Reviewed by ALL Consulting (an O&G consultant) and Schlumberger employees, among others.",,,National Research Council,,,
"""Modern Shale Gas Development in the United States: An Update""",2013,NETL,Government,Water Quality & Use,No,None found,,,Based on a 2009 publication by GWPC (a group that receives some O&G industry funding) and ALL Consulting (a firm with significant O&G business).,Not clear why this is listed under Water quality & Use,,GWPC; ALL Consulting,,,
"""Assessment of New York City Natural Gas Market Fundamentals and Life Cycle Fuel Emissions""",2012,New York City Mayor's Office of Long-Term Planning and Sustainability,Government,Other,No,Strong,C,,"Prepared by ICF International, a major industry consultant. See ""The Consultants"" in report (p. xx).",,,,,,
"""Reduced Emissions from U.S. Power Plants Due to the Switch to Natural Gas""",2014,NOAA,Government,Public Health/Environment,?,Unknown,,,,"Broken link, could not locate elsewhere",,,,,
"""Southwestern Pennsylvania Marcellus Shale Short-Term Ambient Air Sampling Report""",2010,Pa DEP,Government,Public Health/Environment,No,None found,,,"Numerous Pennsylvania DEP secretaries and staffers have revolved into the O&G industry. See PAI's ""Fracking and the Revolving Door in Pennsylvania"" for more.",,,,,,
"""Revised Draft Supplemental Generic Supplemental Generic Environmental Impact Statement: Well Permit Issuance for Horizontal Drilling and High-Volume Hydraulic Fracturing to Develop the Marcellus Shale and Other Low-Permeability Gas Reservoirs""",2011,NY DEC,Government,Public Health/Environment,No,Weak,C,Yes,"Appendix was prepared by Ecology & Environment, an industry consultant. NYS has since banned fracking.","Second appearance of this report. Entered in EID list as ""Supplemental Generic Environmental Impact Statement On The Oil, Gas and Solution Mining Regulatory
Program""",,Ecology & Environment,,,
"""Revised Draft Supplemental Generic Supplemental Generic Environmental Impact Statement: Well Permit Issuance for Horizontal Drilling and High-Volume Hydraulic Fracturing to Develop the Marcellus Shale and Other Low-Permeability Gas Reservoirs""",2011,NYS DEC,Government,Public Health/Environment,No,Weak,C,,"Appendix was prepared by Ecology & Environment, an industry consultant. NYS has since banned fracking.",,,Ecology & Environment,,,
"""The Local Impact of Oil and Gas Production and Drilling in Oklahoma""",2008,Oklahoma State University,University,Manufacturing/Economy,No,Weak,I,,"OSU has received donations from the O&G industry, including >$350k in 2011; OSU Pres V Burns Hargis was on the board of Chesapeake Energy until May 2013.",,Mark C. Snead,,,,
"""Shale-Gas Monitoring Report""",2014,Pa DCNR,Government,Public Health/Environment,No,None found,,,The head of Pa DCNR is a former VP at the oil and gas-tied Pennsylvania Environmental Council.,,,,,,
"""Energy in Pennsylvania: Past, Present, and Future""",2013,Pa DEP,Government,Manufacturing/Economy,No,Medium,C,,"Prepared by Commonwealth Economics, LLC (aka Sage Policy Group), which has consulted for Constellation Energy and Dominion LNG as well as producing research for the Maryland Petroleum Council",,Anirban Basu,API; Marcellus Shale Coalition; Sage Policy Group,,,
"""Northeastern Pennsylvania Marcellus Shale Short-Term Ambient Air Sampling""",2011,Pa DEP,Government,Public Health/Environment,No,None found,,,"Numerous Pennsylvania DEP secretaries and staffers have revolved into the O&G industry. See PAI's ""Fracking and the Revolving Door in Pennsylvania"" for more.",,,,,,
"""An Emerging Giant: Prospects and Economic Impacts of Developing the Marcellus Shale Natural Gas Play""",2009,Penn State,University,Manufacturing/Economy,No,Strong,F,,"Funded by Marcellus Shale Coalition, author Considine has written numerous industry funded reports.",,Timothy Considine,,,,
"""Marcellus Shale and Local Collection of State Taxes: What the 2011 Pennsylvania Tax Data Say""",2012,Penn State,University,Manufacturing/Economy,No,None found,,,,"Listed as ""Local Collection of State Taxes Rises in Marcellus Shale Counties""",Charles Costanzo; Timothy W Kelsey,,,,
"""The Economic Impacts of the Pennsylvania Marcellus Shale Natural Gas Play: An Update""",2010,Penn State,University,Manufacturing/Economy,No,Strong,F,,"Funded by Marcellus Shale Coalition, author Considine has written numerous industry funded reports.",,Timothy Considine; Robert Watson; Seth Blumsack,,,,
"""The Pennsylvania Marcellus Natural Gas Industry: Status, Economic Impacts and Future Potential""",2011,Penn State,University,Manufacturing/Economy,No,Strong,F,,"Funded by Marcellus Shale Coalition, author Considine has written numerous industry funded reports.",,Timothy Considine; Robert Watson; Seth Blumsack,,,,
"""Barnett Shale supports over 83,000 jobs per year""",2011,Perryman Group,Consultant,Manufacturing/Economy,No,Medium,C,,The Perryman Group consults for oil and gas companies.,,,,,,
"""Measurements of methane emissions at natural gas production sites in the U.S.""",2013,PNAS,Peer-reviewed journal,Public Health/Environment,Yes,Strong,"F, A",Yes,"Funded by industry including Talisman Energy, XTO Energy, and Chevron; authors Matthew Harrison and Al Hendler work for URS Corporation, an engineering and construction contractor to O&G firms; Miskimins works for a Barree & Assoc., an industry consultant, and previously worked for ExxonMobil.",Third appearnce of this study.,David T. Allen; Vincent M. Torres; James Thomas; David W. Sullivan; Matthew Harrison; Al Hendler; Scott C. Herndon; Charles E. Kolb; Matthew P. Fraser; A. Daniel Hill; Brian K. Lamb; Jennifer Miskimins; Robert F. Sawyer; John H. Seinfeld,,http://www.pnas.org/content/110/44/17768.full.pdf+html,,
"""Shale Gas Production: Potential Versus Actual Greenhouse Gas Emissions""",2012,Environmental Research Letters,Peer-reviewed journal,Public Health/Environment,Yes,Weak,O,,Author Francis O'Sullivan works for MIT Energy Initiative (an industry-funded academic unit).,,Francis O'Sullivan; Sergey Paltsev,,http://m.iopscience.iop.org/1748-9326/7/4/044030/pdf/1748-9326_7_4_044030.pdf,,
"""Shale Gas Production: Potential Versus Actual Greenhouse Gas Emissions""",2012,MIT,University,Public Health/Environment,Yes,Weak,O,Yes,Author Francis O'Sullivan works for MIT Energy Initiative (an industry-funded academic unit).,"Second appearance of this study, this version was published by MIT, peer-review unclear, but it was peer-reviewed before publishing in Environmental Research Letters.",Francis O'Sullivan; Sergey Paltsev,,http://globalchange.mit.edu/files/document/MITJPSPGC_Rpt234.pdf,,
"""Economic Impacts of the Oil and Natural Gas Industry on the U.S. Economy in 2011""",2013,PricewaterhouseCoopers,Consultant,Manufacturing/Economy,No,Strong,"F, C",,"Report contracted by API. See ""The Industry Players"" in report (p. xx).",,,API,,,
"""Shale Energy: A Potential Game-Changer - Implications for the U.S. Transport & Logistics Industry""",2013,PricewaterhouseCoopers,Consultant,Manufacturing/Economy,No,Medium,C,,"PwC has many industry clients and runs a ""petroleum academy."" Joined the Marcellus Shale Coalition in 2011.",- report unavailable for further review -,,,,,
"""Shale Gas: A Renaissance in US Manufacturing?""",2011,PricewaterhouseCoopers,Consultant,Manufacturing/Economy,No,Medium,C,,"PwC has many industry clients and runs a ""petroleum academy."" The firm joined the Marcehllus Shale Coalition the year this report was released. National Association of Manufacturers contributed to the report.",,Robert McCutcheon; Barry Misthal; Niloufar Molavi; Anthony Scamuffa; Steven Haffner; Dean Simone; Michael Portnoy; Thomas Waller,National Association of Manufacturers,,,
"""Shale Gas: Reshaping the US Chemicals Industry""",2012,PricewaterhouseCoopers,Consultant,Manufacturing/Economy,No,Medium,C,,"PwC has many industry clients and runs a ""petroleum academy."" Joined the Marcellus Shale Coalition in 2011.",,,,,,
"""Natural Gas Vehicles: Driving America to a More Prosperous, Secure, and Sustainable Future""",2013,Progressive Policy Institute,Think tank,Other,No,Weak,O,,"Written by Bruce Kauffmann, who was VP of Communications and Marketing at the American Gas Association, 1992-2007.",,Bruce Kauffmann,,,,
"""Review of the Potential Public Health Impacts of Exposures to Chemical and Radioactive Pollutants as a Result of Shale Gas Extraction""",2013,Public Health England,Government,Public Health/Environment,No,None found,,,,Draft for comment,,,,,
"""Drilling for Jobs - What the Marcellus Shale could mean for New York""",2011,Public Policy Institute of New York State,Think Tank,Manufacturing/Economy,No,Medium,M,,"PPI is a project of the Business Council of NYS, which has numerous gas companies and trade groups among its members.",,Robert M. Lillpopp; Sonia A. Lindell,,,,
"""Impact of Shale Gas Development on Regional Water Quality""",2013,Science,Peer-reviewed journal,Water Quality & Use,Yes,None found,,,,Authors from Pitt and Penn State,Radisav D. Vidic; Susan L. Brantley; J. M. Vandenbossche; Dave Yoxtheimer; Jorge D. Abad,,,,
"""The Greenhouse Impact of Unconventional Gas for Electricity Generation""",2011,Environmental Research Letters,Peer-reviewed journal,Public Health/Environment,Yes,None found,,,,,Nathan Hultman; Dylan Rebois; Michael Scholten; Christopher Ramig,,http://iopscience.iop.org/1748-9326/6/4/044008,,
"""The Benefits of Natural Gas Production and Exports for Pa. Small Businesses""",2013,Small Business & Entrepreneurship Council,Trade group,Manufacturing/Economy,No,Weak,O,,"SBE Council is a 501(c)(4) organization that lobbies for expanding oil and gas production and exports and does not disclose its funders. SBE Council regularly contracts with FTI Consulting, the group behind Energy in Depth, for opinion polls in its lobbying areas.",,,,,,
"""The Financial Returns from Oil and Natural Gas Company Stocks Held by American and University Endowments""",2013,Sonecon,Consultant,Manufacturing/Economy,No,Strong,"F, C",,"Funded by API, written by Sonecon, consulting firm that provides commissioned studies to industry. See ""The Industry Players"" in report (p. xx) for more on IHS.",,Robert Shapiro; Nam D Pham,API,,,
"""Low-Cost Shale Gas Gives North American Petrochemical Producers Advantages Over Europe""",2013,Standard & Poor's,Financial services company,Manufacturing/Economy,No,None found,O,,"Based on information from IHS' 2013 petrochemical conference, which was sponsored by ExxonMobil and Polymerupdate. See ""The Consultants"" in report (p. xx) for more on IHS.",,Cynthia M Werneth; Paulina Grabowiec,,,,
"""Changing the Game? Emissions and Market Implications of New Natural Gas Supplies""",2013,Stanford,University,Public Health/Environment,No,Strong,F,,"Funded by ANGA, API, and O&G companies including BP, Chevron, and Transcanada. Working Group that produced report data includes reps from oil and gas companies that funded the report. See ""The Industry Players"" in report (p. xx).",,,API; ANGA,,,
"""Prennsylvania Follow-up State Review""",2013,"STRONGER, Inc",Public-private partnership,Public Health/Environment,No,Strong,"F, A, M",,"API funds STRONGER's state review reports. 6 person team performing PA review included Steve Rhoads, State Government Relations for Shell Oil Company; and Mark Stebbins, District Engineering Manager for CNX Gas Company. STRONGER's voting members include O&G reps.",,Leslie Savage; David Claus; Bruce Baizel; Katy Dunlap; Steve Rhoads; Mark Stebbins,API,,,
"""Environmental Impacts During Shale Gas Drilling: Causes, Impacts and Remedies""",2012,SUNY Buffalo,University,Public Health/Environment,No,Strong,A,,"Authors Timothy Considine and John Martin are tied to industry, Considine has authored numerous industry-funded reports and Martin runs an industry consultancy; institute that issued report was closed amid uncertainty about industry funding & was co-directed by Martin and Robert Jacobi, an advisor to EQT Resources. See ""Studies & 'Studies'"" in report (p. xx).",,Timothy Considine; Robert Watson; Nicholas Considine; John Martin,,,,
"""A Commitment to Air Quality in the Barnett Shale""",2010,Texas Council on Environmental Quality,Government,Public Health/Environment,No,None found,,,,,,,,,
"""The Shale Shift: Exploring the impact of shale gas on the U.S. economy""",2012,TD Economics,Bank,Manufacturing/Economy,No,Medium,A,,TD Bank provides financing for and invests in O&G operations. TD is the target of ongoing protests for it's involvement in Keystone XL and tar sands.,,Leslie Preston; James Marple,,,,
"""Energy and Climate Change Committee - Fifth Report: Shale Gas""",2011,UK House of Commons,Government,Other,No,None found,O,,"10 of 27 sources of testimony (more than any other source) were from the O&G cos and an O&G-funded think tank, including 2 speakers and written testimony from Cuadrilla.",,,,,,
"""U-M technical reports examine hydraulic fracturing in Michigan""",2013,University of Michigan,University,Water Quality & Use,No,None found,,,,Press release for series of 7 technical papers; not clear why this is listed under Water quality & Use,,,,,
"""Understanding the Marcellus Supply Chain""",2012,University of Pittsburgh,University,Manufacturing/Economy,No,Weak,M,,Katz business school at Pitt has close ties to Allegheny Institute; 1 O&G person on advisory board.,,Shaun Seydor; Eric Clements; Spyros Pantelemonitis; Vinay Deshpande,,,,
"""2013 Annual Plan: Ultra-Deepwater and Unconventional Natural Gas and Other Petroleum Resources Research and Development Program""",2013,US DOE,Government,Water Quality & Use,No,None found,,,,Not clear why this is listed under Water quality & Use,,,,,
"""Shale Gas: A Game Changer for U.S. and Global Gas Markets?""",2010,US EIA,Government,Manufacturing/Economy,No,Weak,A,,"Richard Newell sat on board of Resources for the Future, an industry-funded think tank, before and after writing this report. RFF's industry funding includes substantial donations from Exxon, Chevron, and Duke Energy. Newell left EIA to head Duke University Energy Intiative, a program funded in part by Chesapeake and AEP financier, Ralph Eads III. Newell also worked for ICF in the 1990s.","Not really a study, just a presentation;",Richard Newell,,,,
"""Evaluation of Impacts to Underground Sources of Drinking Water by Hydraulic Fracturing of Coalbed Methane Reservoirs Study""",2004,US EPA,Government,Water Quality & Use,No,None found,,,,,,,,,
"""Response of the U.S. Environmental Protection Agency to Petition for Promulgation of Rule Withdrawing Approval of Alabama's Underground Injection Control Program""",1995,US EPA,Government,Water Quality & Use,No,None found,,,,,,,,,
"""Study of Potential Impacts of Hydraulic Fracturing of Coalbed Methane Wells on Underground Sources of Drinking Water""",2004,US EPA,Government,Water Quality & Use,No,None found,,,,,,,,,
"""Study of the Potential Impacts of Hydraulic Fracturing on Drinking Water Resources: Progress Report""",2012,US EPA,Government,Water Quality & Use,No,None found,,,,,,,,,
"""Natural Gas and the Transformation of the U.S. Energy Sector: Electricity""",2012,NREL,Government,Other,No,Weak,C,,"Prepared by Joint Institute for Strategic Energy Analysis, operated by Alliance for Sustainable Energy, LLC, which is co-owned and governed by Battelle, a science and technology development company. 3 of 8 Battelle directors are on boards of O&G companies, and Battelle owns Winner Water Services, an O&G-focused water supplier.",http://www.nrel.gov/docs/fy13osti/55538.pdf,Jeffrey Logan; Garvin Heath; Jordan Macknick; Elizabeth Paranhos; William Boyd; Ken Carlson,Joint Institute for Strategic Energy Analysis,,,
"""A Comparative Study of the Mississippian Barnett Shale, Fort Woth Basin, and Devonian Marcellus Shale, Appalachian Basin""",2011,NETL,Government,Overall,No,Medium,C,,"Study conducted by URS Corporation, which provides engineering and construction services to the oil and gas industry as well as other sectors",,Kathy R. Bruner; Richard Smosna,URS Corporation,,,
"""Life Cycle Greehouse Gas Inventory of Natural Gas Extraction, Delivery and Electricity Production""",2011,NETL,Government,Public Health/Environment,No,Medium,A,,"Authors James Littlefield and Joe Marriott are with Booz Allen Hamilton, which has an Energy Industry consulting business and partnered with API on an Oil and Natural Gas (ONG-ISAC) Information Sharing and Analysis Center.",,Timothy J. Skone; James Littlefield; Joe Marriott,,,,
"""State Oil and Natural Gas Regulations Designed to Protect Water Resources""",2009,NETL,Government,Water Quality & Use,No,Medium,C,,"Prepared by GWPC, which receives industry funding and runs the FracFocus website with IOGCC and industry partners. Authors acknowledged contributions and assistance from Schlumberger, STRONGER, and IOGCC.",,Michael Nickolaus; William Bryson; Paul Jehn,GWPC,,,
"""Shale Gas Production Subcommittee Ninety Day Report""",2011,US Secretary of Energy Advisory Board Natural Gas Subcommittee,Government,Overall,No,Strong,A,,"Six out of seven sbucommittee members have significant oil and gas ties: John Deutch, an advisor to his son's energy investment firm; Fred Krupp, whose Environmental Defense Fund has deep board and funding ties to oil and gas interests; Kathleen McGinty, a board member of NRG and operating partner of a firm invested in oilfield services; and Susan Tierney, whose Analysis Group counts the Interstate Natural Gas Association of America and the Western States Petroleum Institute among its clients; Daniel Yergin, the chairman of IHS CERA, which consults for the energy industy, and Mark Zoback, a Stanford professor and advisor to Baker Hughes and oilfield consulting firm GeoMechanics International.",,,,,,
"""Baseline Groundwater Quality from 20 Domestic Wells in Sullivan County, Pennsylvania, 2012""",2013,USGS,Government,Water Quality & Use,Yes,None found,,,,"Baseline study prior to fracking, does not show safety",Ronald A Sloto,,,,
"""Estimated Use of Water in the United States in 2005""",2009,USGS,Government,Water Quality & Use,Yes,None found,,,,Study of pre-boom groundwater withdrawals,Joan F. Kenny; Nancy L. Barber; Susan S. Hutson; Kristin S. Linsey; John K. Lovelace; Molly A. Maupin,,,,
"""Shallow Groundwater Quality and Geochemistry in the Fayetteville Shale Gas-Production Area, North-Central Arkansas, 2011""",2013,USGS,Government,Water Quality & Use,Yes,None found,,,,Actually deals with fracking,Timothy M. Kresse; Nathaniel R. Warner; Phillip D. Hays; Adrian Down; Avner Vengosh; Robert B. Jackson,,,,
"""Trace Elements and Radon in Groundwater Across the United States, 1992-2003""",2011,USGS,Government,Water Quality & Use,Yes,None found,,,,"Study of trace elements and radon in groundwater from 1992-2003, not really related to fracking, but shows some level of water contamination pre-boom",Joseph D Ayotte; Jo Ann M Gronberg; Lori E Apodaca,,,,
"""Water-Quality Characteristics and Trend Analyses for the Tongue, Powder, Cheyenne, and Belle Fourche River Drainage Basins, Wyoming and Montana, for Selected Periods, Water Years 1991 through 2010",2012,USGS,Government,Water Quality & Use,Yes,None found,,,,Dealing with effects of coalbed natural gas development on water,Melanie L Clark,,,,
"""Fact-Based Regulation for Environmental Protection in Shale Gas Development""",2012,UT Austin,University,Public Health/Environment,No,Strong,"A, I",,"Principal investigator Chip Groat was a board member of Plains Exploration and Production. See ""Studies & 'Studies'"" in report (p. xx).","This has an environmental section that was played up in media, but other sections make it unclear why it's included in this category; retracted & principal investigator fired.",Chip Groat; Thomas Grimshaw,,,,
"""Economic Impact of the Eagle Ford Shale""",2012,UT San Antonio,University,Manufacturing/Economy,No,Strong,F,,"Commissioned by ANGA. Adam Haynes with Chesapeake Energy assisted in the collection of data. See ""The Industry Players"" in report (p. xx) for more on ANGA.",,Dominique Halaby; Javier Oyakawa; Christine Shayne; Carter Keairns; Alan Dutton,ANGA; Chesapeake Energy,,,
"""U.S. Supply Forecase and Potential Jobs and Economic Impacts (2012-2030)""",2011,Wood Mackenzie,Consultant,Manufacturing/Economy,No,Strong,"F, C",,"Commissioned by API. Wood Mackenzie is a consulting firm for the energy, metals and mining industries. See ""The Industry Players"" in report (p. xx) for more on API.",,,API; Wood Mackenzie,,,
"""Energy for Economic Growth""",2012,World Economic Forum,Think Tank,Manufacturing/Economy,No,Strong,"A, C",,"Written by IHS CERA, which does significant consulting for industry groups. Includes ""perspective constributors"" from a variety of O&G execs. The WEF ""Energy Industry Partnership"" programme is comprised of O&G companies. See ""The Consultants"" in report (p. xx) for more on IHS.",,Daniel Yergin; Samantha Gross; Daniel Bachman; John Larson; Ted Lyman; Nancy Meyer; Jan Randolph,IHS,,,
"""Air Quality Impacts Occurring from Horizontal Well Drilling and Related Activities""",2013,WV DEP,Government,Public Health/Environment,No,None found,,,,,,,,,
"""The Arithmetic of Shale Gas""",2012,Yale,University,Manufacturing/Economy,No,Strong,A,,"Authors connected to industry: Ed Hirs is a managing director at an exploration and production company in texas. Tavelli is an energy industry consultant. Corridore and MacAvoy have ties to LaFarge, a cement supplier for the energy industry.",,Robert Ames;  Anthony Corridore; Joel N. Ephross;  Edward A. Hirs III; Paul W. MacAvoy;  Richard Tavelli,,,,
